party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,7,0,1,203,203
1,7,0,1,203,406
2,6,0,1,168,574
3,5,0,1,120,694
4,3,0,1,69,763
5,4,0,1,88,851
6,3,0,,0,851
7,4,0,,0,851
8,4,0,,0,851
0,8,1,1,240,240
1,7,1,1,203,443
2,8,1,1,240,683
3,7,1,1,203,886
4,5,1,1,120,1006
5,5,1,,0,1006
6,3,1,1,69,1075
7,4,1,,0,1075
8,2,1,,0,1075
9,2,1,,0,1075
0,8,2,1,240,240
1,8,2,1,240,480
2,7,2,1,203,683
3,7,2,1,203,886
4,5,2,1,120,1006
5,5,2,,0,1006
6,6,2,,0,1006
7,4,2,1,88,1094
8,4,2,,0,1094
9,3,2,,0,1094
10,4,2,,0,1094
11,2,2,,0,1094
12,2,2,,0,1094
0,7,3,1,203,203
1,8,3,1,240,443
2,6,3,1,168,611
3,5,3,1,120,731
4,6,3,1,168,899
5,6,3,1,168,1067
6,3,3,,0,1067
7,3,3,,0,1067
8,3,3,,0,1067
9,4,3,,0,1067
10,2,3,,0,1067
11,2,3,,0,1067
12,2,3,,0,1067
13,2,3,,0,1067
14,2,3,,0,1067
0,7,4,1,203,203
1,7,4,1,203,406
2,7,4,1,203,609
3,5,4,1,120,729
4,5,4,1,120,849
5,3,4,1,69,918
6,4,4,,0,918
7,3,4,,0,918
8,3,4,,0,918
9,2,4,,0,918
10,2,4,,0,918
11,2,4,,0,918
12,2,4,,0,918
13,2,4,,0,918
0,7,5,1,203,203
1,8,5,1,240,443
2,7,5,1,203,646
3,7,5,1,203,849
4,8,5,1,240,1089
5,8,5,,0,1089
6,6,5,,0,1089
7,5,5,,0,1089
8,3,5,,0,1089
9,4,5,,0,1089
10,4,5,,0,1089
11,4,5,,0,1089
12,4,5,,0,1089
13,2,5,1,52,1141
14,2,5,,0,1141
0,7,6,1,203,203
1,7,6,1,203,406
2,8,6,1,240,646
3,8,6,1,240,886
4,7,6,1,203,1089
5,5,6,,0,1089
6,6,6,,0,1089
7,6,6,,0,1089
8,5,6,,0,1089
9,3,6,,0,1089
10,3,6,,0,1089
